Cidade,Sexo,cor_da_pele,Idade,Escala_1,Escala_2,Escala_5,Escala_8,Escala_10,Escala_11
Simão Dias,feminino,,16.0,1.55556,,1,4.50,1.33333,4.0
Simão Dias,feminino,Pardo,16.0,2.11111,1.3750,1.14286,4.00,2,3.0
Simão Dias,feminino,Pardo,16.0,2.33333,2.1250,1.28571,1.50,1.16667,2.2
Simão Dias,feminino,Preto,16.0,2,2.1250,1,2.00,1.83333,2.8
Simão Dias,feminino,Pardo,16.0,3.33333,2.4375,1,5.00,1,5.0
Simão Dias,feminino,Pardo,16.0,2.33333,2.1250,1.85714,2.50,,3.4
Simão Dias,masculino,Pardo,16.0,3,2.0625,1.28571,4.00,2.83333,2.8
Simão Dias,masculino,Pardo,16.0,1,1.3750,1,4.25,1,
Simão Dias,feminino,Branco,16.0,2.22222,1.7500,1,2.00,1,4.0
Simão Dias,masculino,,16.0,2,,,,1,2.4
Simão Dias,masculino,Preto,16.0,4.55556,3.0625,,4.00,4.5,1.6
Simão Dias,feminino,Pardo,16.0,2.33333,1.9375,1,1.75,1,3.8
Simão Dias,masculino,Pardo,16.0,2.11111,1.5000,1.28571,2.00,1.5,3.0
Simão Dias,feminino,Pardo,16.0,2.55556,,,,,
Simão Dias,feminino,Branco,16.0,2.77778,1.5625,1.71429,4.50,2.33333,2.0
Simão Dias,feminino,Branco,16.0,2.22222,1.7500,1,3.00,,
Simão Dias,feminino,Preto,16.0,1.55556,1.8750,1,4.50,1,2.0
Simão Dias,masculino,Pardo,16.0,2.55556,1.9375,1.57143,2.00,4,3.2
Simão Dias,feminino,Pardo,16.0,2.33333,,1.85714,3.25,2.16667,4.4
Simão Dias,feminino,Branco,16.0,2,1.4375,1,5.00,1.83333,4.6
Simão Dias,masculino,Pardo,16.0,2.33333,1.5000,1.28571,4.75,,1.8
Simão Dias,masculino,Pardo,16.0,2.44444,1.8125,1,3.75,1,2.8
Simão Dias,masculino,Branco,16.0,3.77778,2.1875,1.57143,1.50,3,2.2
Simão Dias,masculino,,16.0,2.11111,1.5000,1,1.00,1.5,3.4
Simão Dias,masculino,Branco,16.0,2.22222,2.1875,2.57143,4.75,3.33333,3.0
Simão Dias,masculino,Pardo,16.0,2.22222,,1.28571,4.75,,
Simão Dias,masculino,Pardo,16.0,2.11111,,1.28571,3.75,1.66667,3.8
Simão Dias,masculino,Preto,16.0,1.66667,1.3125,1.28571,5.00,1.66667,3.8
Simão Dias,feminino,Pardo,16.0,2.22222,2.8750,2.14286,4.50,2.16667,4.2
CamBrito,feminino,Pardo,16.0,1.66667,1.4375,1,2.50,1.16667,3.8
CamBrito,feminino,Branco,16.0,1.33333,1.6875,1,5.00,1,4.0
CamBrito,feminino,Pardo,16.0,3.22222,1.3750,1.28571,3.75,4.83333,3.0
CamBrito,masculino,Pardo,16.0,2.77778,,3.57143,5.00,4.66667,2.2
CamBrito,masculino,,16.0,1.88889,,1,,,
